Date,IYT,RWR,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
12MAR2013,-0.0030,-0.0031,0.0008,0.0011,-0.0054,-0.0057,-0.0036,-0.0010,-0.0026,0.0045,-0.0028
13MAR2013,0.0153,0.0001,-0.0025,-0.0023,0.0027,0.0048,-0.0007,0.0026,0.0045,0.0002,0.0055
14MAR2013,0.0076,0.0068,0.0060,0.0137,0.0065,0.0048,0.0071,0.0034,0.0020,0.0009,0.0011
15MAR2013,-0.0011,0.0005,0.0009,-0.0008,0.0031,0.0008,-0.0040,-0.0045,0.0066,-0.0021,-0.0038
18MAR2013,-0.0029,-0.0040,-0.0070,-0.0080,-0.0095,-0.0062,0.0003,-0.0030,-0.0055,-0.0065,-0.0076
19MAR2013,-0.0021,-0.0060,-0.0043,-0.0110,-0.0057,-0.0010,-0.0013,0.0083,0.0026,0.0007,-0.0071
20MAR2013,-0.0029,0.0030,0.0076,0.0056,0.0068,0.0012,0.0050,0.0096,0.0074,0.0083,0.0116
21MAR2013,-0.0159,-0.0034,-0.0171,-0.0051,-0.0120,-0.0101,-0.0114,-0.0031,-0.0050,-0.0056,-0.0084
22MAR2013,0.0107,0.0055,0.0013,0.0079,0.0058,0.0077,0.0066,0.0092,0.0016,0.0076,0.0123
25MAR2013,-0.0080,0.0010,-0.0077,-0.0038,-0.0025,-0.0089,-0.0024,-0.0008,-0.0021,-0.0029,-0.0017
26MAR2013,0.0077,0.0083,0.0070,0.0106,0.0063,0.0051,0.0063,0.0094,0.0095,0.0116,0.0049
27MAR2013,0.0015,0.0004,-0.0003,0.0033,-0.0047,0.0000,-0.0026,-0.0008,0.0047,0.0051,0.0004
28MAR2013,0.0094,0.0037,0.0038,-0.0029,0.0027,0.0072,0.0020,0.0040,0.0122,0.0101,0.0036
01APR2013,-0.0146,0.0029,-0.0087,-0.0020,-0.0049,-0.0122,-0.0066,-0.0005,-0.0023,0.0013,-0.0075
02APR2013,-0.0140,0.0044,-0.0098,-0.0057,0.0058,-0.0032,0.0040,0.0108,0.0033,0.0145,0.0084
03APR2013,-0.0142,-0.0031,-0.0083,-0.0187,-0.0165,-0.0061,-0.0079,-0.0110,-0.0028,-0.0060,-0.0092
04APR2013,0.0024,0.0164,0.0087,-0.0013,0.0089,0.0044,0.0003,0.0053,0.0095,0.0045,0.0057
05APR2013,0.0045,0.0038,-0.0042,0.0022,-0.0030,-0.0019,-0.0077,-0.0073,0.0043,-0.0056,-0.0049
08APR2013,0.0093,0.0099,0.0031,0.0067,0.0100,0.0059,0.0044,0.0113,0.0076,0.0009,0.0114
09APR2013,-0.0035,-0.0001,0.0117,0.0085,0.0027,0.0032,0.0070,-0.0010,-0.0030,0.0032,-0.0026
10APR2013,0.0178,0.0057,0.0069,0.0054,0.0134,0.0133,0.0176,0.0075,0.0081,0.0168,0.0117
11APR2013,-0.0028,0.0071,0.0043,0.0043,0.0024,0.0026,-0.0033,0.0048,0.0022,0.0096,0.0084
12APR2013,-0.0022,0.0017,-0.0148,-0.0156,-0.0043,-0.0057,-0.0044,0.0036,0.0042,0.0019,0.0054
15APR2013,-0.0394,-0.0194,-0.0369,-0.0408,-0.0211,-0.0304,-0.0163,-0.0160,-0.0144,-0.0182,-0.0263
16APR2013,0.0235,0.0171,0.0182,0.0123,0.0155,0.0136,0.0124,0.0187,0.0121,0.0144,0.0143
17APR2013,-0.0151,-0.0118,-0.0147,-0.0219,-0.0188,-0.0166,-0.0205,-0.0086,-0.0057,-0.0046,-0.0102
18APR2013,-0.0008,-0.0010,-0.0029,0.0085,-0.0103,-0.0045,-0.0105,-0.0020,0.0033,-0.0122,-0.0109
19APR2013,0.0156,0.0150,0.0118,-0.0020,0.0140,0.0050,0.0014,0.0156,0.0150,0.0141,0.0120
22APR2013,0.0012,-0.0026,0.0095,0.0107,0.0011,0.0011,0.0077,0.0024,-0.0012,0.0061,0.0043
23APR2013,0.0043,0.0052,0.0087,0.0115,0.0180,0.0073,0.0110,0.0078,0.0025,0.0063,0.0101
24APR2013,0.0062,0.0034,0.0151,0.0134,0.0062,0.0103,0.0017,-0.0159,0.0032,-0.0172,0.0007
25APR2013,0.0011,-0.0045,0.0110,0.0008,0.0059,0.0051,0.0033,0.0032,0.0002,0.0040,0.0085
26APR2013,0.0002,-0.0029,-0.0142,-0.0017,-0.0046,-0.0029,-0.0003,-0.0002,0.0015,-0.0003,-0.0044
29APR2013,0.0059,0.0080,0.0152,0.0101,0.0046,0.0051,0.0143,0.0032,0.0083,0.0033,0.0035
30APR2013,0.0050,0.0112,0.0015,0.0040,0.0027,0.0002,0.0108,-0.0020,0.0027,-0.0075,0.0028
01MAY2013,-0.0229,-0.0066,-0.0177,-0.0156,-0.0112,-0.0130,-0.0088,-0.0010,-0.0099,-0.0106,-0.0053
02MAY2013,0.0106,0.0066,0.0072,0.0131,0.0087,0.0123,0.0128,0.0037,-0.0012,0.0111,0.0098
03MAY2013,0.0214,0.0021,0.0176,0.0181,0.0107,0.0173,0.0094,0.0044,-0.0020,0.0068,0.0126
06MAY2013,0.0136,0.0051,0.0028,0.0068,0.0106,0.0064,0.0048,-0.0073,-0.0139,-0.0065,0.0032
07MAY2013,0.0160,0.0050,0.0095,0.0077,0.0052,0.0092,-0.0006,0.0076,0.0097,0.0032,0.0084
08MAY2013,0.0029,-0.0002,0.0087,0.0016,0.0081,0.0063,0.0080,0.0012,-0.0088,0.0029,0.0007
09MAY2013,-0.0111,-0.0064,-0.0012,-0.0009,-0.0070,0.0000,-0.0028,-0.0070,-0.0151,0.0013,0.0018
10MAY2013,0.0056,0.0038,-0.0010,-0.0052,0.0042,0.0030,0.0029,0.0039,0.0023,0.0099,0.0078
13MAY2013,-0.0051,0.0045,-0.0071,-0.0001,0.0031,-0.0039,-0.0025,0.0017,-0.0053,0.0083,0.0002
14MAY2013,0.0185,0.0040,0.0124,0.0142,0.0171,0.0123,0.0032,0.0119,0.0068,0.0101,0.0102
15MAY2013,0.0074,0.0083,0.0055,-0.0028,0.0092,0.0041,0.0032,0.0099,0.0095,0.0053,0.0054
16MAY2013,-0.0071,-0.0047,-0.0045,-0.0049,-0.0066,-0.0050,0.0054,-0.0061,-0.0082,-0.0103,-0.0116
17MAY2013,0.0120,0.0054,0.0108,0.0167,0.0132,0.0152,0.0100,0.0015,0.0095,0.0057,0.0096
20MAY2013,-0.0067,0.0025,0.0010,0.0141,0.0020,0.0029,0.0000,-0.0103,-0.0050,-0.0069,-0.0030
21MAY2013,0.0006,0.0067,-0.0012,-0.0020,0.0025,0.0014,-0.0031,0.0010,0.0020,0.0109,0.0045
22MAY2013,-0.0150,-0.0246,-0.0136,-0.0116,-0.0105,-0.0088,-0.0109,-0.0017,-0.0169,0.0000,-0.0095
23MAY2013,0.0012,-0.0173,0.0005,0.0005,-0.0061,-0.0027,-0.0003,-0.0041,-0.0068,-0.0004,-0.0021
24MAY2013,-0.0035,-0.0025,-0.0034,-0.0058,0.0010,-0.0032,-0.0016,0.0094,-0.0107,-0.0030,-0.0030
28MAY2013,0.0000,-0.0083,0.0091,0.0105,0.0102,0.0053,0.0047,0.0017,-0.0116,0.0102,0.0097
29MAY2013,-0.0100,-0.0207,-0.0032,-0.0022,-0.0001,-0.0057,-0.0025,-0.0192,-0.0149,-0.0157,-0.0103
30MAY2013,0.0031,-0.0097,0.0032,-0.0023,0.0120,0.0060,0.0063,-0.0039,0.0026,0.0072,0.0000
31MAY2013,-0.0090,-0.0134,-0.0156,-0.0207,-0.0164,-0.0096,-0.0094,-0.0186,-0.0061,-0.0220,-0.0113
03JUN2013,-0.0005,0.0072,0.0050,0.0097,0.0010,0.0048,0.0051,0.0110,0.0021,0.0054,0.0045
04JUN2013,-0.0050,-0.0138,-0.0012,-0.0079,-0.0091,-0.0055,-0.0044,0.0002,-0.0034,-0.0062,-0.0035
05JUN2013,-0.0183,-0.0087,-0.0222,-0.0117,-0.0163,-0.0182,-0.0098,-0.0121,-0.0088,-0.0146,-0.0166
06JUN2013,0.0093,0.0159,0.0066,0.0075,0.0139,0.0063,0.0022,0.0042,0.0118,0.0146,0.0105
07JUN2013,0.0247,-0.0001,0.0093,0.0126,0.0173,0.0188,0.0092,0.0124,0.0061,0.0092,0.0183
10JUN2013,-0.0026,-0.0092,0.0047,-0.0028,0.0005,-0.0030,0.0022,0.0000,-0.0003,0.0014,-0.0030
11JUN2013,-0.0108,-0.0155,-0.0139,-0.0152,-0.0165,-0.0092,-0.0104,-0.0025,-0.0066,-0.0041,-0.0099
12JUN2013,-0.0061,-0.0130,-0.0050,-0.0061,-0.0107,-0.0069,-0.0067,-0.0049,-0.0098,-0.0101,-0.0110
13JUN2013,0.0191,0.0268,0.0184,0.0168,0.0188,0.0147,0.0114,0.0104,0.0162,0.0155,0.0187
14JUN2013,-0.0057,0.0038,-0.0072,-0.0097,-0.0129,-0.0067,-0.0074,-0.0025,0.0014,-0.0016,-0.0032
17JUN2013,-0.0025,0.0030,0.0085,0.0144,0.0097,0.0079,0.0092,0.0088,0.0032,0.0023,0.0055
18JUN2013,0.0095,0.0037,0.0045,0.0057,0.0063,0.0118,0.0079,0.0037,0.0068,0.0084,0.0102
19JUN2013,-0.0122,-0.0317,-0.0076,-0.0092,-0.0133,-0.0153,-0.0116,-0.0199,-0.0229,-0.0159,-0.0114
20JUN2013,-0.0210,-0.0410,-0.0258,-0.0292,-0.0217,-0.0228,-0.0222,-0.0302,-0.0283,-0.0257,-0.0262
21JUN2013,-0.0060,0.0145,-0.0035,0.0017,0.0009,0.0006,-0.0060,0.0131,0.0129,0.0097,0.0020
